,Date,Low,High,Close,Open
3368,2013-02-22,13.21,13.6,13.57,13.57
3367,2009-03-03,1.97,2.59,2.3,2.59
3366,2010-04-21,6.61,7.18,6.76,7.13
3365,2016-04-13,38.89,40.01,39.94,39.3
3364,2013-05-10,17.41,17.81,17.76,17.61
3363,2015-06-24,42.07,42.92,42.24,42.7
3362,2005-11-16,33.4,33.85,33.6,33.51
3361,2008-06-10,3.73,3.96,3.78,3.92
3360,2009-04-16,3.63,3.92,3.81,3.85
3359,2014-09-09,37.38,38.68,37.96,37.63
3358,2006-01-31,29.01,30.41,29.34,29.17
3357,2014-09-17,37.04,38.24,37.46,37.92
3356,2012-02-28,7.0,7.46,7.41,7.03
3355,2013-08-05,18.9,19.25,19.17,18.9
3354,2010-08-18,9.42,9.71,9.61,9.49
3353,2007-05-07,34.85,36.69,35.11,36.52
3352,2007-06-11,29.4,30.73,29.66,30.6
3351,2017-11-03,46.8,47.61,47.45,47.36
3350,2007-01-23,52.88,55.6,53.27,55.4
3349,2006-04-24,39.04,42.3,41.9,39.25
3348,2014-07-03,41.4,42.9399,41.62,42.61
3347,2009-02-27,2.78,3.06,2.85,3.01
3346,2015-10-01,37.84,39.27,39.2,38.5
3345,2012-06-28,12.78,13.44,13.4,13.13
3344,2008-11-07,7.52,8.46,7.87,8.29
3343,2008-05-12,6.99,7.5,6.99,7.32
3342,2010-11-01,11.49,11.88,11.66,11.88
3341,2012-10-23,11.61,12.17,12.09,11.87
3340,2012-03-15,7.06,7.74,7.58,7.07
3339,2009-12-21,4.46,4.63,4.6,4.52
3338,2018-08-24,38.5272,39.15,38.82,38.9
3337,2010-11-03,11.87,12.12,12.07,11.93
3336,2006-11-28,57.0,58.6,58.18,58.6
3335,2006-01-09,38.5,38.88,38.61,38.8
3334,2015-08-03,40.21,41.85,41.71,40.24
3333,2011-04-20,8.09,8.45,8.14,8.35
3332,2018-01-17,57.8,58.58,58.16,58.31
3331,2006-11-29,56.5,60.02,56.76,59.4
3330,2013-05-30,17.66,18.22,17.67,17.92
3329,2013-05-24,17.89,18.42,18.21,18.11
3328,2006-11-08,48.82,50.23,49.53,50.22
3327,2016-02-18,38.96,39.68,39.54,39.36
3326,2014-12-11,49.65,51.5,50.53,49.8
3325,2015-06-01,42.09,44.38,44.18,42.61
3324,2016-12-08,47.7,48.6,48.05,48.6
3323,2018-10-18,31.87,33.759,32.06,33.58
3322,2017-01-09,45.78,47.34,47.08,46.01
3321,2006-04-10,37.35,39.65,37.92,39.65
3320,2015-11-11,44.37,44.95,44.39,44.76
3319,2017-03-17,41.6,42.214,41.72,42.0
3318,2005-12-09,33.35,34.07,33.88,33.41
3317,2006-06-30,47.63,50.9,50.54,48.4
3316,2018-07-25,37.32,38.34,38.19,37.32
3315,2006-11-30,56.0,57.85,56.76,57.05
3314,2017-07-20,52.1,52.78,52.34,52.72
3313,2016-08-17,36.19,36.75,36.6,36.68
3312,2017-09-12,45.63,46.48,46.29,45.9
3311,2018-03-29,51.03,52.4301,51.96,51.3
3310,2016-08-23,36.18,36.65,36.4,36.32
3309,2008-07-08,2.58,2.81,2.7,2.65
3308,2017-07-21,51.45,52.55,51.91,52.13
3307,2017-02-13,46.5,47.78,47.41,46.56
3306,2005-11-15,32.84,33.88,33.88,33.75
3305,2015-12-16,42.12,43.49,43.2,42.99
3304,2007-11-07,22.0,23.25,22.6,22.61
3303,2009-06-02,3.01,3.2,3.08,3.04
3302,2009-09-08,3.33,3.49,3.42,3.46
3301,2017-06-05,49.4,49.95,49.74,49.53
3300,2016-05-24,31.85,32.275,32.15,31.89
3299,2017-08-04,50.3852,50.92,50.8,50.67
3298,2008-01-09,10.18,11.57,10.89,11.21
3297,2007-02-28,50.6,52.55,52.29,51.76
3296,2011-07-20,6.86,7.14,6.9,7.12
3295,2006-05-04,47.75,49.2,48.05,48.4
3294,2006-12-13,58.63,62.45,59.25,61.33
3293,2018-08-07,38.19,38.74,38.26,38.65
3292,2017-06-16,48.62,49.45,48.79,48.9
3291,2017-08-31,44.43,44.94,44.74,44.54
3290,2005-09-27,19.1,21.4,19.3,21.05
3289,2017-05-05,43.77,44.52,44.51,44.0
3288,2007-10-12,28.88,30.16,30.15,29.15
3287,2008-02-28,13.03,13.7,13.15,13.56
3286,2015-10-02,37.42,38.77,38.63,38.75
3285,2013-01-15,14.11,14.53,14.31,14.24
3284,2012-10-01,10.32,10.84,10.75,10.35
3283,2018-10-05,36.21,38.1275,36.44,37.93
3282,2009-07-20,2.04,2.15,2.13,2.06
3281,2019-01-11,31.1,31.989,31.8,31.8
3280,2009-04-17,3.7,4.14,3.97,3.81
3279,2018-05-04,41.75,43.45,42.86,41.75
3278,2014-02-05,33.4,33.97,33.8,33.82
3277,2010-06-10,8.82,9.24,9.16,8.93
3276,2018-09-19,40.7,41.7668,41.6,40.79
3275,2010-08-17,9.21,9.66,9.5,9.32
3274,2018-08-17,37.72,38.21,37.79,37.99
3273,2007-12-27,15.08,15.62,15.18,15.43
3272,2018-04-05,51.83,53.08,52.14,52.5
3271,2011-12-20,5.89,6.0,5.94,5.98
3270,2009-12-04,4.16,4.46,4.43,4.17
3269,2007-02-15,57.35,58.06,57.4,57.61
3268,2011-12-28,5.11,5.47,5.19,5.47
3267,2016-03-01,41.06,42.02,41.83,41.44
3266,2010-07-07,8.27,9.35,9.32,8.36
3265,2017-02-03,43.7627,44.55,44.2,44.31
3264,2007-10-10,30.4,31.6,30.8,31.5
3263,2011-01-26,10.49,11.28,10.8,10.56
3262,2017-12-01,48.69,50.38,49.0,49.67
3261,2015-08-18,43.24,44.45,43.63,44.06
3260,2005-12-30,36.92,37.58,37.14,37.55
3259,2016-10-31,40.08,40.81,40.6,40.31
3258,2016-06-23,29.77,30.49,30.33,30.25
3257,2014-05-08,37.05,38.25,38.25,37.25
3256,2010-03-24,7.27,7.52,7.41,7.27
3255,2009-12-23,4.88,5.2,5.17,5.13
3254,2009-03-04,2.22,2.88,2.37,2.51
3253,2016-07-12,32.75,34.89,34.66,32.78
3252,2018-06-29,37.82,38.75,37.96,38.25
3251,2015-07-27,38.9,40.81,40.14,39.63
3250,2017-03-16,41.45,42.35,42.13,42.18
3249,2011-11-03,5.09,5.62,5.61,5.4
3248,2006-01-05,38.91,39.71,39.71,39.18
3247,2019-02-12,35.67,37.17,35.75,36.76
3246,2017-01-30,43.86,45.92,44.9,45.62
3245,2015-06-23,42.35,43.42,42.725,42.98
3244,2006-10-19,45.76,47.72,47.7,45.88
3243,2010-12-07,10.55,11.32,10.55,11.31
3242,2007-11-01,26.69,27.5,26.84,27.25
3241,2013-04-11,15.75,16.38,16.19,15.77
3240,2009-02-19,3.57,4.03,3.6,3.87
3239,2013-12-09,23.4501,25.44,24.6,23.95
3238,2009-07-09,2.14,2.21,2.16,2.16
3237,2014-10-31,40.8,41.75,41.35,41.1
3236,2015-04-09,47.72,49.48,47.84,48.86
3235,2006-05-11,48.0,49.89,49.12,49.25
3234,2018-11-07,35.48,37.39,36.97,35.57
3233,2011-04-07,8.2,8.44,8.24,8.35
3232,2011-06-06,8.51,8.96,8.55,8.91
3231,2006-12-18,55.25,57.4,55.8,56.62
3230,2014-07-02,41.42,42.95,41.95,42.89
3229,2016-12-27,48.14,48.92,48.61,48.29
3228,2014-04-07,35.46,37.48,35.78,36.78
3227,2008-11-06,7.88,8.95,7.92,8.95
3226,2008-12-22,7.15,7.62,7.33,7.44
3225,2016-09-30,35.8601,36.99,36.61,35.98
3224,2016-08-03,33.17,33.96,33.48,33.47
3223,2016-07-22,35.6,36.56,36.36,36.45
3222,2012-08-07,9.74,10.84,9.94,10.84
3221,2013-02-14,13.16,14.96,13.99,14.94
3220,2007-12-26,15.22,15.98,15.72,15.98
3219,2013-08-20,15.6,16.21,15.8,15.64
3218,2007-05-22,33.16,34.79,34.77,33.36
3217,2017-06-12,48.1,50.22,49.48,50.1
3216,2017-08-15,48.35,49.0,48.52,48.76
3215,2017-04-25,46.38,47.39,46.61,46.8
3214,2009-03-26,2.5,2.85,2.8,2.74
3213,2012-07-17,13.84,14.25,14.07,14.2
3212,2011-03-09,8.75,9.1,8.93,9.1
3211,2018-04-18,46.05,48.38,47.76,46.5
3210,2014-11-11,43.32,44.47,43.44,44.0
3209,2012-12-04,12.06,12.89,12.38,12.72
3208,2016-03-31,40.98,41.68,41.01,41.5
3207,2013-02-07,14.63,15.4,15.11,14.91
3206,2007-01-16,60.81,62.1,61.96,60.81
3205,2013-02-25,13.0,13.76,13.02,13.6
3204,2017-02-09,44.94,46.599,46.3,45.07
3203,2016-10-28,39.8,40.57,40.06,39.85
3202,2016-01-13,39.66,42.74,40.1,42.17
3201,2015-08-20,41.78,43.52,41.98,42.84
3200,2013-04-29,16.56,16.97,16.81,16.7
3199,2007-08-16,24.26,26.99,26.91,25.99
3198,2012-03-20,7.19,7.77,7.68,7.22
3197,2014-05-21,38.05,38.85,38.32,38.28
3196,2013-03-11,14.71,15.15,15.13,14.85
3195,2014-10-30,39.62,40.69,40.3,39.91
3194,2014-11-26,44.0,45.7501,44.97,44.31
3193,2016-11-16,43.93,44.795,44.45,44.66
3192,2013-09-16,17.97,18.41,18.07,18.16
3191,2017-11-22,48.27,48.97,48.66,48.58
3190,2013-01-29,14.2,15.04,14.42,14.98
3189,2014-08-20,40.03,40.8,40.6,40.4
3188,2012-05-22,10.53,10.97,10.62,10.75
3187,2013-04-03,15.13,15.92,15.53,15.82
3186,2014-12-26,51.06,52.25,51.955,51.46
3185,2008-06-12,2.39,3.45,2.69,3.37
